TracePro Surface Source Property Data
File Name  C:\Users\usr1\Desktop\project\optical\tracepro\source\CXA1507_LED1.txt
TracePro Release: 7 0 0
Database Version: 3 3 0
Data generated at Source Source Property Generator

Name   CXA1507_LED1
Catalog    CXA1507
Description    
User_Data  1
Spectral Type  3
Angular Type   4
Units  0
Quantity   1
Emission   14.8
Wavelength1    0
Wavelength2    0
Angle1 90
Angle2 10

Temperature	Wavelength	PolarAngle	AzimuthAngle	Emissivity
300	0.4729	15.517	0.000	0.193307
300	0.4729	18.621	0.000	0.1900852
300	0.4729	21.724	0.000	0.186054
300	0.4729	24.828	0.000	0.1811645
300	0.4729	27.931	0.000	0.1755981
300	0.4729	31.034	0.000	0.1697164
300	0.4729	34.138	0.000	0.1636962
300	0.4729	37.241	0.000	0.1573528
300	0.4729	40.345	0.000	0.1503845
300	0.4729	43.448	0.000	0.1424906
300	0.4729	46.552	0.000	0.1335813
300	0.4729	49.655	0.000	0.1242276
300	0.4729	52.759	0.000	0.1153582
300	0.4729	55.862	0.000	0.1069551
300	0.4729	58.966	0.000	0.09791166
300	0.4729	62.069	0.000	0.08737061
300	0.4729	65.172	0.000	0.07601764
300	0.4729	68.276	0.000	0.06490832
300	0.4729	71.379	0.000	0.05272883
300	0.4729	74.483	0.000	0.03967208
300	0.4729	77.586	0.000	0.03020903
300	0.4729	80.690	0.000	0.02062362
300	0.4729	83.793	0.000	0.01059211
300	0.4729	86.897	0.000	0.003910935
300	0.4729	90.000	0.000	0
300	0.4831	0.000	0.000	0.1107469
300	0.4831	3.103	0.000	0.1106056
300	0.4831	6.207	0.000	0.1101602
300	0.4831	9.310	0.000	0.1094102
300	0.4831	12.414	0.000	0.108352
300	0.4831	15.517	0.000	0.1069594
300	0.4831	18.621	0.000	0.1051767
300	0.4831	21.724	0.000	0.1029462
300	0.4831	24.828	0.000	0.1002408
300	0.4831	27.931	0.000	0.09716082
300	0.4831	31.034	0.000	0.09390635
300	0.4831	34.138	0.000	0.09057531
300	0.4831	37.241	0.000	0.08706544
300	0.4831	40.345	0.000	0.08320976
300	0.4831	43.448	0.000	0.07884198
300	0.4831	46.552	0.000	0.07391231
300	0.4831	49.655	0.000	0.06873679
300	0.4831	52.759	0.000	0.06382924
300	0.4831	55.862	0.000	0.05917971
300	0.4831	58.966	0.000	0.05417584
300	0.4831	62.069	0.000	0.04834333
300	0.4831	65.172	0.000	0.04206158
300	0.4831	68.276	0.000	0.03591464
300	0.4831	71.379	0.000	0.02917557
300	0.4831	74.483	0.000	0.02195109
300	0.4831	77.586	0.000	0.01671506
300	0.4831	80.690	0.000	0.01141132
300	0.4831	83.793	0.000	0.005860755
300	0.4831	86.897	0.000	0.002163973
300	0.4831	90.000	0.000	0
300	0.4934	0.000	0.000	0.121779
300	0.4934	3.103	0.000	0.1216235
300	0.4934	6.207	0.000	0.1211339
300	0.4934	9.310	0.000	0.1203091
300	0.4934	12.414	0.000	0.1191455
300	0.4934	15.517	0.000	0.1176141
300	0.4934	18.621	0.000	0.1156539
300	0.4934	21.724	0.000	0.1132012
300	0.4934	24.828	0.000	0.1102263
300	0.4934	27.931	0.000	0.1068395
300	0.4934	31.034	0.000	0.1032609
300	0.4934	34.138	0.000	0.09959799
300	0.4934	37.241	0.000	0.09573849
300	0.4934	40.345	0.000	0.09149872
300	0.4934	43.448	0.000	0.08669585
300	0.4934	46.552	0.000	0.0812751
300	0.4934	49.655	0.000	0.07558402
300	0.4934	52.759	0.000	0.0701876
300	0.4934	55.862	0.000	0.06507491
300	0.4934	58.966	0.000	0.05957258
300	0.4934	62.069	0.000	0.05315907
300	0.4934	65.172	0.000	0.04625156
300	0.4934	68.276	0.000	0.03949229
300	0.4934	71.379	0.000	0.0320819
300	0.4934	74.483	0.000	0.02413776
300	0.4934	77.586	0.000	0.01838014
300	0.4934	80.690	0.000	0.01254806
300	0.4934	83.793	0.000	0.006444575
300	0.4934	86.897	0.000	0.002379538
300	0.4934	90.000	0.000	0
300	0.5036	0.000	0.000	0.2163848
300	0.5036	3.103	0.000	0.2161087
300	0.5036	6.207	0.000	0.2152386
300	0.5036	9.310	0.000	0.2137731
300	0.5036	12.414	0.000	0.2117055
300	0.5036	15.517	0.000	0.2089845
